adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[35, 10749]",11631,en,50.38,03-07-2008,Mamma Mia!,FALSE,6.969,6090
FALSE,"[80, 18, 53]",339692,en,50.366,13-07-2017,Shot Caller,FALSE,6.933,1863
FALSE,"[27, 9648, 878]",1091,en,50.321,25-06-1982,The Thing,FALSE,8.052,6376
FALSE,"[28, 14, 53]",23629,en,50.299,24-03-2011,Sucker Punch,FALSE,6.2,4446
FALSE,"[18, 27]",393519,fr,50.295,11-11-2016,Raw,FALSE,7.056,2986
FALSE,"[12, 28, 80, 9648]",58574,en,50.289,22-11-2011,Sherlock Holmes: A Game of Shadows,FALSE,7.134,9846
FALSE,"[12, 28, 53]",709,en,50.289,13-06-1989,Licence to Kill,FALSE,6.376,1762
FALSE,"[10751, 10402, 14, 10770, 12, 28, 10749]",417320,en,50.264,21-07-2017,Descendants 2,FALSE,7.372,1526
FALSE,"[80, 53]",276907,en,50.257,09-09-2015,Legend,FALSE,7.033,3588
FALSE,"[878, 80, 28]",629176,en,50.238,25-08-2022,Samaritan,FALSE,6.763,1797
FALSE,[16],879097,fr,50.176,29-09-2021,Rabbids Invasion - Mission To Mars,FALSE,6.183,30
FALSE,"[28, 53]",1573,en,50.163,03-07-1990,Die Hard 2,FALSE,6.929,5366
FALSE,"[28, 80, 18]",2034,en,50.149,05-10-2001,Training Day,FALSE,7.49,5461
FALSE,"[28, 35, 18]",1010928,fr,50.145,01-11-2023,Wingwomen,FALSE,6.138,253
FALSE,"[28, 35]",11770,cn,50.109,05-07-2001,Shaolin Soccer,FALSE,7.081,2041
FALSE,"[27, 18, 53, 10770]",571055,en,50.104,01-02-2019,Down,FALSE,6.8,226
FALSE,"[12, 28, 35, 14]",353486,en,50.102,09-12-2017,Jumanji: Welcome to the Jungle,FALSE,6.8,12943
FALSE,"[16, 28, 12, 10751, 878]",718789,en,50.087,15-06-2022,Lightyear,FALSE,7,3136
FALSE,"[35, 14, 10749]",11824,en,41.661,23-08-1985,Teen Wolf,FALSE,6.174,1031
FALSE,"[27, 9648]",16938,en,46.356,11-10-1974,Black Christmas,FALSE,6.916,700
FALSE,"[28, 18, 27, 878, 53]",25769,en,47.507,04-09-2009,Carriers,FALSE,6.1,1309
FALSE,"[12, 35, 10751]",346648,en,48.457,09-11-2017,Paddington 2,FALSE,7.5,2132
FALSE,"[35, 10751, 14]",10830,en,50.438,02-08-1996,Matilda,FALSE,7.152,4096
FALSE,"[878, 35]",777411,en,52.183,18-08-2023,Landscape with Invisible Hand,FALSE,6.224,38
FALSE,"[10402, 35, 28, 80]",525,en,33.18,16-06-1980,The Blues Brothers,FALSE,7.739,3878
FALSE,[35],660982,en,48.995,06-10-2020,American Pie Presents: Girls' Rules,FALSE,6.2,558
FALSE,"[878, 53]",206487,en,69.787,28-08-2014,Predestination,FALSE,7.445,5979
FALSE,"[28, 18, 36, 10752]",13813,en,49.217,31-12-2008,Defiance,FALSE,6.835,1622
FALSE,"[35, 10402]",254470,en,58.758,07-05-2015,Pitch Perfect 2,FALSE,6.9,5118
FALSE,"[28, 9648, 53, 878, 12]",615173,ko,66.996,15-06-2022,The Witch: Part 2. The Other One,FALSE,7.3,202
FALSE,"[35, 10749]",2770,en,46.961,10-08-2001,American Pie 2,FALSE,6.226,4620
FALSE,"[12, 14, 28, 53, 878]",18,en,52.807,02-05-1997,The Fifth Element,FALSE,7.535,10104
