Movie ID,Movie Title,Keywords
361743,Top Gun: Maverick,"fighter pilot, u.s. navy, sequel, nuclear weapons, military"
122917,The Hobbit: The Battle of the Five Armies,"corruption, based on novel or book, orcs, elves, dwarf, dragon, battle, unlikely friendship, epic battle, sword and sorcery"
537915,After,"based on novel or book, love, teenage crush"
808,Shrek,"princess, magic, fairy tale, donkey, liberation, lordship, prince, castle, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, cartoon donkey"
1071215,Thanksgiving,"small town, sadism, holiday, massachusetts, thanksgiving, dark comedy, riot, plymouth, murder, serial killer, consumerism, slasher, whodunit, aftercreditsstinger, murder spree, teenage killer, black friday, based on short film, holidays, revenge slasher, stalked by a killer, revenge horror, masked killer, teen slasher, holiday horror"
493529,Dungeons & Dragons: Honor Among Thieves,"platonic love, gang of thieves, dragon, role playing game, based on video game, dungeons and dragons, heist gone wrong, duringcreditsstinger, father daughter relationship, spell & sorcery, wizardry"
278,The Shawshank Redemption,"prison, friendship, police brutality, corruption, based on novel or book, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover"
436969,The Suicide Squad,"monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, dc extended universe (dceu), muscular men, character deaths"
884605,No Hard Feelings,"friendship, older woman seduces younger guy, romantic comedy, summer, new york state, teen comedy, hometown, bankruptcy, craigslist, animal shelter, socially awkward, uber, late coming of age, nude swimming, graduation party, helicopter parenting"
697843,Extraction 2,"mercenary, rescue mission, sequel, based on graphic novel"
786415,Ika Boys,
101299,The Hunger Games: Catching Fire,"rebellion, based on novel or book, propaganda, dystopia, games, uprising, sequel, president, survival, murder, conspiracy, female protagonist, tournament, based on young adult novel"
274855,Geostorm,"future, artificial intelligence (a.i.), weather manipulation, end of the world, murder, space, conspiracy, disaster, apocalypse, storm, space station, space shuttle, catastrophe, disaster movie, global threat, environmental disaster, overpopulated world"
251387,The Night Crew,"bounty hunter, motel, crew, survival, fugitive, desert, savage, hard up, horde"
724209,Heart of Stone,"saving the world, espionage, spy, mi6, british spy, female spy"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","witch, epic, sibling relationship, saving the world, based on novel or book, self sacrifice, winter, fairy tale, cupboard, beaver, lion, surrealism, battle, based on children's book, fantasy world, duringcreditsstinger, 1940s, high fantasy, isekai, based on young adult novel, faun, good versus evil"
744276,After Ever Happy,"based on novel or book, love, teenage crush"
913604,Renegades,
767,Harry Potter and the Half-Blood Prince,"witch, dying and death, london, england, magic, school of witchcraft, apparition, curse, teenage crush, school, werewolf, teenage love, luck, wizard, secret past, christmas, based on young adult novel"
842169,Girl Next,
508883,The Boy and the Heron,"based on novel or book, loss of loved one, world war ii, education, bullying, coming of age, spirituality, poverty, teenage boy, troubled childhood, moving to a city, anime, hand drawn animation, magic world, courage"
840430,The Holdovers,"vietnam war, winter, boarding school, holiday, 1970s, alcoholism, grief, misfit, mental illness, teacher student relationship, new england, boys' boarding school, christmas, troubled youth, loss of son, cook"
8920,Garfield,"cat, competition, mascot, lasagne, pets, live action and animation"
38757,Tangled,"princess, magic, hostage, fairy tale, horse, musical, blonde, tower, selfishness, healing power, adventurer, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick, magic land"
