movie_title,genre_names,genre_ids
The Wolf of Wall Street,"Crime, Drama, Comedy","80, 18, 35"
Knights of the Zodiac,"Fantasy, Action, Adventure","14, 28, 12"
Fantastic Beasts: The Secrets of Dumbledore,"Fantasy, Adventure, Family","14, 12, 10751"
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Science Fiction","28, 12, 878"
Toy Story 2,"Animation, Comedy, Family","16, 35, 10751"
Teenage Mutant Ninja Turtles,"Science Fiction, Action, Adventure, Comedy","878, 28, 12, 35"
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller","27, 9648, 53"
The Predator,"Science Fiction, Action, Adventure","878, 28, 12"
Penguins of Madagascar,"Family, Animation, Adventure, Comedy","10751, 16, 12, 35"
Idiocracy,"Comedy, Science Fiction, Adventure","35, 878, 12"
The Jester,"Horror, Thriller, Mystery","27, 53, 9648"
Jack Reacher,"Crime, Drama, Thriller, Action","80, 18, 53, 28"
The Baker,"Action, Drama, Crime","28, 18, 80"
Fifty Shades Freed,"Drama, Romance","18, 10749"
Sicario: Day of the Soldado,"Action, Crime, Thriller","28, 80, 53"
Me he hecho viral,Comedy,35
The Lion King,"Family, Animation, Drama","10751, 16, 18"
Spider-Man,"Fantasy, Action","14, 28"
Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Comedy","28, 12, 35"
Sicario: Day of the Soldado,"Action, Crime, Thriller","28, 80, 53"
Me he hecho viral,Comedy,35
The Lion King,"Family, Animation, Drama","10751, 16, 18"
Spider-Man,"Fantasy, Action","14, 28"
Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Comedy","28, 12, 35"
Forrest Gump,"Comedy, Drama, Romance","35, 18, 10749"
Die Hard,"Action, Thriller","28, 53"
One Piece Film Red,"Animation, Adventure, Action, Fantasy","16, 12, 28, 14"
The Boogeyman,"Horror, Thriller, Mystery","27, 53, 9648"
Overhaul,"Action, Thriller, Drama","28, 53, 18"
Rampage,"Action, Adventure, Science Fiction","28, 12, 878"
John Wick,"Action, Thriller","28, 53"
Deadpool 2,"Action, Comedy, Adventure","28, 35, 12"
Zero Fucks Given,Drama,18
The Lion King,"Adventure, Drama, Family, Animation","12, 18, 10751, 16"
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action","12, 14, 28"
Ocho apellidos marroquís,Comedy,35
The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action","12, 14, 28"
The Swordsman,"Action, Drama, History","28, 18, 36"
Dealing with Christmas,"Comedy, Adventure, Action","35, 12, 28"
Green Book,"Drama, History","18, 36"
The Tomorrow War,"Action, Science Fiction, Adventure","28, 878, 12"
Toy Story 3,"Animation, Family, Comedy","16, 10751, 35"
Thor,"Adventure, Fantasy, Action","12, 14, 28"
It Lives Inside,"Horror, Mystery","27, 9648"
